,index,count,timeStamp,activity,time,perc
128,11,660.0,22,Travel and Other,1970-01-01 01:22:00,0.89
129,3,551.0,22,Housework,1970-01-01 01:22:00,0.75
130,4,382.0,22,Child Care,1970-01-01 01:22:00,0.52
131,5,43.0,22,Adult Care,1970-01-01 01:22:00,0.06
132,10,70048.0,23,Leisure,1970-01-01 01:23:00,94.97
133,6,2075.0,23,Work and Education,1970-01-01 01:23:00,2.81
134,11,664.0,23,Travel and Other,1970-01-01 01:23:00,0.9
135,3,548.0,23,Housework,1970-01-01 01:23:00,0.74
136,4,380.0,23,Child Care,1970-01-01 01:23:00,0.52
137,5,43.0,23,Adult Care,1970-01-01 01:23:00,0.06
138,10,70047.0,24,Leisure,1970-01-01 01:24:00,94.97
139,6,2078.0,24,Work and Education,1970-01-01 01:24:00,2.82
140,11,665.0,24,Travel and Other,1970-01-01 01:24:00,0.9
141,3,546.0,24,Housework,1970-01-01 01:24:00,0.74
142,4,379.0,24,Child Care,1970-01-01 01:24:00,0.51
143,5,43.0,24,Adult Care,1970-01-01 01:24:00,0.06
144,10,70046.0,25,Leisure,1970-01-01 01:25:00,94.97
145,6,2078.0,25,Work and Education,1970-01-01 01:25:00,2.82
146,11,664.0,25,Travel and Other,1970-01-01 01:25:00,0.9
147,3,547.0,25,Housework,1970-01-01 01:25:00,0.74
148,4,379.0,25,Child Care,1970-01-01 01:25:00,0.51
149,5,44.0,25,Adult Care,1970-01-01 01:25:00,0.06
150,10,70021.0,26,Leisure,1970-01-01 01:26:00,94.93
151,6,2094.0,26,Work and Education,1970-01-01 01:26:00,2.84
152,11,697.0,26,Travel and Other,1970-01-01 01:26:00,0.94
153,3,529.0,26,Housework,1970-01-01 01:26:00,0.72
154,4,373.0,26,Child Care,1970-01-01 01:26:00,0.51
155,5,44.0,26,Adult Care,1970-01-01 01:26:00,0.06
156,10,70016.0,27,Leisure,1970-01-01 01:27:00,94.93
157,6,2098.0,27,Work and Education,1970-01-01 01:27:00,2.84
158,11,696.0,27,Travel and Other,1970-01-01 01:27:00,0.94
159,3,530.0,27,Housework,1970-01-01 01:27:00,0.72
160,4,373.0,27,Child Care,1970-01-01 01:27:00,0.51
161,5,45.0,27,Adult Care,1970-01-01 01:27:00,0.06
162,10,70015.0,28,Leisure,1970-01-01 01:28:00,94.93
163,6,2103.0,28,Work and Education,1970-01-01 01:28:00,2.85
164,11,695.0,28,Travel and Other,1970-01-01 01:28:00,0.94
165,3,525.0,28,Housework,1970-01-01 01:28:00,0.71
166,4,375.0,28,Child Care,1970-01-01 01:28:00,0.51
167,5,45.0,28,Adult Care,1970-01-01 01:28:00,0.06
168,10,70014.0,29,Leisure,1970-01-01 01:29:00,94.92
169,6,2105.0,29,Work and Education,1970-01-01 01:29:00,2.85
170,11,697.0,29,Travel and Other,1970-01-01 01:29:00,0.94
171,3,522.0,29,Housework,1970-01-01 01:29:00,0.71
172,4,375.0,29,Child Care,1970-01-01 01:29:00,0.51
173,5,45.0,29,Adult Care,1970-01-01 01:29:00,0.06
174,10,70017.0,30,Leisure,1970-01-01 01:30:00,94.93
175,6,2105.0,30,Work and Education,1970-01-01 01:30:00,2.85
176,11,698.0,30,Travel and Other,1970-01-01 01:30:00,0.95
177,3,518.0,30,Housework,1970-01-01 01:30:00,0.7
178,4,375.0,30,Child Care,1970-01-01 01:30:00,0.51
179,5,45.0,30,Adult Care,1970-01-01 01:30:00,0.06
180,10,69430.0,31,Leisure,1970-01-01 01:31:00,94.13
181,6,2170.0,31,Work and Education,1970-01-01 01:31:00,2.94
182,11,1070.0,31,Travel and Other,1970-01-01 01:31:00,1.45
183,3,697.0,31,Housework,1970-01-01 01:31:00,0.94
184,4,337.0,31,Child Care,1970-01-01 01:31:00,0.46
185,5,54.0,31,Adult Care,1970-01-01 01:31:00,0.07
186,10,69442.0,32,Leisure,1970-01-01 01:32:00,94.15
187,6,2169.0,32,Work and Education,1970-01-01 01:32:00,2.94
188,11,1079.0,32,Travel and Other,1970-01-01 01:32:00,1.46
189,3,684.0,32,Housework,1970-01-01 01:32:00,0.93
190,4,334.0,32,Child Care,1970-01-01 01:32:00,0.45
191,5,50.0,32,Adult Care,1970-01-01 01:32:00,0.07
192,10,69443.0,33,Leisure,1970-01-01 01:33:00,94.15
193,6,2169.0,33,Work and Education,1970-01-01 01:33:00,2.94
194,11,1087.0,33,Travel and Other,1970-01-01 01:33:00,1.47
195,3,678.0,33,Housework,1970-01-01 01:33:00,0.92
196,4,330.0,33,Child Care,1970-01-01 01:33:00,0.45
197,5,51.0,33,Adult Care,1970-01-01 01:33:00,0.07
198,10,69456.0,34,Leisure,1970-01-01 01:34:00,94.17
199,6,2171.0,34,Work and Education,1970-01-01 01:34:00,2.94
200,11,1079.0,34,Travel and Other,1970-01-01 01:34:00,1.46
201,3,671.0,34,Housework,1970-01-01 01:34:00,0.91
202,4,331.0,34,Child Care,1970-01-01 01:34:00,0.45
203,5,50.0,34,Adult Care,1970-01-01 01:34:00,0.07
204,10,69457.0,35,Leisure,1970-01-01 01:35:00,94.17
205,6,2173.0,35,Work and Education,1970-01-01 01:35:00,2.95
206,11,1077.0,35,Travel and Other,1970-01-01 01:35:00,1.46
207,3,670.0,35,Housework,1970-01-01 01:35:00,0.91
208,4,331.0,35,Child Care,1970-01-01 01:35:00,0.45
209,5,50.0,35,Adult Care,1970-01-01 01:35:00,0.07
210,10,69414.0,36,Leisure,1970-01-01 01:36:00,94.11
211,6,2214.0,36,Work and Education,1970-01-01 01:36:00,3.0
212,11,1080.0,36,Travel and Other,1970-01-01 01:36:00,1.46
213,3,666.0,36,Housework,1970-01-01 01:36:00,0.9
214,4,333.0,36,Child Care,1970-01-01 01:36:00,0.45
215,5,51.0,36,Adult Care,1970-01-01 01:36:00,0.07
216,10,69414.0,37,Leisure,1970-01-01 01:37:00,94.11
217,6,2216.0,37,Work and Education,1970-01-01 01:37:00,3.0
218,11,1082.0,37,Travel and Other,1970-01-01 01:37:00,1.47
219,3,665.0,37,Housework,1970-01-01 01:37:00,0.9
220,4,333.0,37,Child Care,1970-01-01 01:37:00,0.45
221,5,48.0,37,Adult Care,1970-01-01 01:37:00,0.07
222,10,69418.0,38,Leisure,1970-01-01 01:38:00,94.12
223,6,2222.0,38,Work and Education,1970-01-01 01:38:00,3.01
224,11,1081.0,38,Travel and Other,1970-01-01 01:38:00,1.47
225,3,655.0,38,Housework,1970-01-01 01:38:00,0.89
226,4,332.0,38,Child Care,1970-01-01 01:38:00,0.45
227,5,50.0,38,Adult Care,1970-01-01 01:38:00,0.07
228,10,69419.0,39,Leisure,1970-01-01 01:39:00,94.12
229,6,2225.0,39,Work and Education,1970-01-01 01:39:00,3.02
230,11,1079.0,39,Travel and Other,1970-01-01 01:39:00,1.46
231,3,653.0,39,Housework,1970-01-01 01:39:00,0.89
232,4,332.0,39,Child Care,1970-01-01 01:39:00,0.45
233,5,50.0,39,Adult Care,1970-01-01 01:39:00,0.07
234,10,69421.0,40,Leisure,1970-01-01 01:40:00,94.12
235,6,2226.0,40,Work and Education,1970-01-01 01:40:00,3.02
236,11,1079.0,40,Travel and Other,1970-01-01 01:40:00,1.46
237,3,651.0,40,Housework,1970-01-01 01:40:00,0.88
238,4,332.0,40,Child Care,1970-01-01 01:40:00,0.45
239,5,49.0,40,Adult Care,1970-01-01 01:40:00,0.07
240,10,69358.0,41,Leisure,1970-01-01 01:41:00,94.03
241,6,2279.0,41,Work and Education,1970-01-01 01:41:00,3.09
242,11,1115.0,41,Travel and Other,1970-01-01 01:41:00,1.51
243,3,632.0,41,Housework,1970-01-01 01:41:00,0.86
244,4,326.0,41,Child Care,1970-01-01 01:41:00,0.44
245,5,48.0,41,Adult Care,1970-01-01 01:41:00,0.07
246,10,69363.0,42,Leisure,1970-01-01 01:42:00,94.04
247,6,2278.0,42,Work and Education,1970-01-01 01:42:00,3.09
248,11,1113.0,42,Travel and Other,1970-01-01 01:42:00,1.51
249,3,631.0,42,Housework,1970-01-01 01:42:00,0.86
250,4,327.0,42,Child Care,1970-01-01 01:42:00,0.44
251,5,46.0,42,Adult Care,1970-01-01 01:42:00,0.06
252,10,69371.0,43,Leisure,1970-01-01 01:43:00,94.05
253,6,2285.0,43,Work and Education,1970-01-01 01:43:00,3.1
254,11,1108.0,43,Travel and Other,1970-01-01 01:43:00,1.5
255,3,624.0,43,Housework,1970-01-01 01:43:00,0.85
256,4,327.0,43,Child Care,1970-01-01 01:43:00,0.44
257,5,43.0,43,Adult Care,1970-01-01 01:43:00,0.06
258,10,69373.0,44,Leisure,1970-01-01 01:44:00,94.05
259,6,2291.0,44,Work and Education,1970-01-01 01:44:00,3.11
260,11,1102.0,44,Travel and Other,1970-01-01 01:44:00,1.49
261,3,622.0,44,Housework,1970-01-01 01:44:00,0.84
262,4,327.0,44,Child Care,1970-01-01 01:44:00,0.44
263,5,43.0,44,Adult Care,1970-01-01 01:44:00,0.06
264,10,69369.0,45,Leisure,1970-01-01 01:45:00,94.05
265,6,2293.0,45,Work and Education,1970-01-01 01:45:00,3.11
266,11,1105.0,45,Travel and Other,1970-01-01 01:45:00,1.5
267,3,622.0,45,Housework,1970-01-01 01:45:00,0.84
268,4,327.0,45,Child Care,1970-01-01 01:45:00,0.44
269,5,42.0,45,Adult Care,1970-01-01 01:45:00,0.06
270,10,69072.0,46,Leisure,1970-01-01 01:46:00,93.65
271,6,2404.0,46,Work and Education,1970-01-01 01:46:00,3.26
272,11,1260.0,46,Travel and Other,1970-01-01 01:46:00,1.71
273,3,663.0,46,Housework,1970-01-01 01:46:00,0.9
274,4,308.0,46,Child Care,1970-01-01 01:46:00,0.42
275,5,51.0,46,Adult Care,1970-01-01 01:46:00,0.07
276,10,69071.0,47,Leisure,1970-01-01 01:47:00,93.65
277,6,2409.0,47,Work and Education,1970-01-01 01:47:00,3.27
278,11,1261.0,47,Travel and Other,1970-01-01 01:47:00,1.71
279,3,660.0,47,Housework,1970-01-01 01:47:00,0.89
280,4,307.0,47,Child Care,1970-01-01 01:47:00,0.42
281,5,50.0,47,Adult Care,1970-01-01 01:47:00,0.07
282,10,69078.0,48,Leisure,1970-01-01 01:48:00,93.65
283,6,2414.0,48,Work and Education,1970-01-01 01:48:00,3.27
284,11,1259.0,48,Travel and Other,1970-01-01 01:48:00,1.71
285,3,650.0,48,Housework,1970-01-01 01:48:00,0.88
286,4,306.0,48,Child Care,1970-01-01 01:48:00,0.41
287,5,51.0,48,Adult Care,1970-01-01 01:48:00,0.07
288,10,69083.0,49,Leisure,1970-01-01 01:49:00,93.66
289,6,2420.0,49,Work and Education,1970-01-01 01:49:00,3.28
290,11,1254.0,49,Travel and Other,1970-01-01 01:49:00,1.7
291,3,648.0,49,Housework,1970-01-01 01:49:00,0.88
292,4,304.0,49,Child Care,1970-01-01 01:49:00,0.41
293,5,49.0,49,Adult Care,1970-01-01 01:49:00,0.07
294,10,69086.0,50,Leisure,1970-01-01 01:50:00,93.67
295,6,2423.0,50,Work and Education,1970-01-01 01:50:00,3.29
296,11,1249.0,50,Travel and Other,1970-01-01 01:50:00,1.69
297,3,648.0,50,Housework,1970-01-01 01:50:00,0.88
298,4,304.0,50,Child Care,1970-01-01 01:50:00,0.41
299,5,48.0,50,Adult Care,1970-01-01 01:50:00,0.07
300,10,69005.0,51,Leisure,1970-01-01 01:51:00,93.56
